Sample_Name	NC_020645.1	NC_006853.1	NC_006295.1	NC_002008.4	KR866125.1	NC_008066.1	NC_001640.1	KX964606.1	NC_001700.1	NC_005033.1	NC_012920.1	KR816507.1	NC_069637.1	NC_025316.1	NC_018367.1	MN400429.1	NC_004069.1	NC_020637.1	NC_035866.1	NC_013700.1	NC_001913.1	NC_036369.1	NC_026063.1	NC_029403.1	NC_012389.1	NC_011638.1	NC_014861.1	NC_021478.1	NC_026124.1	NC_039104.1	NC_012095.1	NC_026529.1	NC_008434.1
SRR23971541	20	0	0	9	1	0	0	1	0	0	9	0	0	3	0	0	8	0	0	21	29	0	0	3	0	10	0	19	0	0	2	0	1
SRR23971542	32	1	0	11	1	0	0	0	1	0	13	0	0	62	0	1	6	0	0	1426	13	1	0	5	0	6	0	19	2	0	3	0	1
SRR23971543	0	9	7	71	64	0	0	0	15	0	42	0	0	1	0	0	1	4	2	2	10	0	233	0	0	0	0	0	0	0	56	0	0
SRR23971544	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
SRR23971545	1	6	0	68	20	0	0	1685	9	9	32	0	0	4	0	0	0	10	0	9	0	0	15	0	0	4	0	0	0	0	36	0	0
SRR23971546	1	0	0	16	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	16	0	0	0	0	1	0	0	0	0	1	0	0
SRR23971547	0	2	0	63	5	0	0	1	3	0	1	0	0	1	1	0	0	0	0	6	58	0	0	0	0	0	0	0	0	0	2	0	0
SRR23971548	0	1	1	0	0	0	0	0	3	0	2	0	0	0	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0
SRR23971549	0	0	0	0	0	0	0	3	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
SRR23971551	0	0	0	0	1	0	0	18	3	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SRR23971552	0	0	0	0	0	0	0	65	0	0	193	0	0	0	0	0	0	4	0	0	0	0	0	0	0	16	0	0	0	0	1	0	0
SRR23971553	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971554	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971555	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971556	0	0	0	0	0	0	0	3	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	27	0	0
SRR23971557	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971558	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SRR23971559	0	2	0	0	0	0	0	0	125	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SRR23971560	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0
SRR23971561	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971562	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971563	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971564	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971565	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
