analysis,tMRCA
all_Lv_unconstrained,2019.9108530967696
all_Lv_unconstrained,2019.904525488041
all_Lv_unconstrained,2019.9236736071127
all_Lv_unconstrained,2019.9307067955683
all_Lv_unconstrained,2019.929961717916
all_Lv_unconstrained,2019.9009685471249
all_Lv_unconstrained,2019.8464374390624
all_Lv_unconstrained,2019.8493858034249
all_Lv_unconstrained,2019.930463752317
all_Lv_unconstrained,2019.913092934874
all_Lv_unconstrained,2019.9035562234808
all_Lv_unconstrained,2019.9244587735452
all_Lv_unconstrained,2019.8370711230143
all_Lv_unconstrained,2019.8553584182705
all_Lv_unconstrained,2019.873246603292
all_Lv_unconstrained,2019.8849569087893
all_Lv_unconstrained,2019.907033581822
all_Lv_unconstrained,2019.896656734392
all_Lv_unconstrained,2019.888175121345
all_Lv_unconstrained,2019.9095659713207
all_Lv_unconstrained,2019.9277172115485
all_Lv_unconstrained,2019.8110848817105
all_Lv_unconstrained,2019.910423638969
all_Lv_unconstrained,2019.8715873147105
all_Lv_unconstrained,2019.9207585126003
all_Lv_unconstrained,2019.910709949676
all_Lv_unconstrained,2019.8445463764424
all_Lv_unconstrained,2019.9206105627163
all_Lv_unconstrained,2019.927896053562
all_Lv_unconstrained,2019.863841107366
all_Lv_unconstrained,2019.9207222983
all_Lv_unconstrained,2019.9268903095883
all_Lv_unconstrained,2019.878563949209
all_Lv_unconstrained,2019.8962846678176
all_Lv_unconstrained,2019.908833201163
all_Lv_unconstrained,2019.9057911861323
all_Lv_unconstrained,2019.9072908492672
all_Lv_unconstrained,2019.8868393675796
all_Lv_unconstrained,2019.8891939969767
all_Lv_unconstrained,2019.9007627938156
all_Lv_unconstrained,2019.934383660044
all_Lv_unconstrained,2019.935230224824
all_Lv_unconstrained,2019.886448078064
all_Lv_unconstrained,2019.92895352991
all_Lv_unconstrained,2019.931374049168
all_Lv_unconstrained,2019.9190039022533
all_Lv_unconstrained,2019.8979141947837
all_Lv_unconstrained,2019.910108371155
all_Lv_unconstrained,2019.9034879833357
all_Lv_unconstrained,2019.9268154331128
all_Lv_unconstrained,2019.897810174861
all_Lv_unconstrained,2019.852128935396
all_Lv_unconstrained,2019.9356100818643
all_Lv_unconstrained,2019.8277617953263
all_Lv_unconstrained,2019.928274840797
all_Lv_unconstrained,2019.9412167533228
all_Lv_unconstrained,2019.9102997308169
all_Lv_unconstrained,2019.9290216229977
all_Lv_unconstrained,2019.892667733452
all_Lv_unconstrained,2019.936902323025
all_Lv_unconstrained,2019.9445638173197
all_Lv_unconstrained,2019.9050269460256
all_Lv_unconstrained,2019.8892634544277
all_Lv_unconstrained,2019.9144016840216
all_Lv_unconstrained,2019.881095215857
all_Lv_unconstrained,2019.8818384792817
all_Lv_unconstrained,2019.9282356610263
all_Lv_unconstrained,2019.9377125304893
all_Lv_unconstrained,2019.9378071248225
all_Lv_unconstrained,2019.9430503593849
all_Lv_unconstrained,2019.9452976345897
all_Lv_unconstrained,2019.9473852853469
all_Lv_unconstrained,2019.941803108956
all_Lv_unconstrained,2019.9447436966432
all_Lv_unconstrained,2019.940524473868
all_Lv_unconstrained,2019.9074923501664
all_Lv_unconstrained,2019.935171990913
all_Lv_unconstrained,2019.866098074008
all_Lv_unconstrained,2019.896422183283
all_Lv_unconstrained,2019.9280282620584
all_Lv_unconstrained,2019.947599218116
all_Lv_unconstrained,2019.886940520969
all_Lv_unconstrained,2019.8697623510525
all_Lv_unconstrained,2019.9118116073491
all_Lv_unconstrained,2019.9266212110251
all_Lv_unconstrained,2019.9275392761144
all_Lv_unconstrained,2019.9141135987095
all_Lv_unconstrained,2019.9146140571695
all_Lv_unconstrained,2019.920645536188
all_Lv_unconstrained,2019.926925418468
all_Lv_unconstrained,2019.9079907889115
all_Lv_unconstrained,2019.907940995256
all_Lv_unconstrained,2019.7618598979527
all_Lv_unconstrained,2019.8302361574945
all_Lv_unconstrained,2019.8674163535209
all_Lv_unconstrained,2019.9133180998135
all_Lv_unconstrained,2019.90175451031
all_Lv_unconstrained,2019.926597139215
all_Lv_unconstrained,2019.9323634969949
all_Lv_unconstrained,2019.928206981677
all_Lv_unconstrained,2019.924568965415
all_Lv_unconstrained,2019.90261515126
all_Lv_unconstrained,2019.9278797999357
all_Lv_unconstrained,2019.782438549433
all_Lv_unconstrained,2019.905304190808
all_Lv_unconstrained,2019.9077988732352
all_Lv_unconstrained,2019.847933418536
all_Lv_unconstrained,2019.9084133624715
all_Lv_unconstrained,2019.9400176646168
all_Lv_unconstrained,2019.9339793069155
all_Lv_unconstrained,2019.937183703084
all_Lv_unconstrained,2019.9316910285552
all_Lv_unconstrained,2019.943957471676
all_Lv_unconstrained,2019.940833688708
all_Lv_unconstrained,2019.9304521463016
all_Lv_unconstrained,2019.9374921870588
all_Lv_unconstrained,2019.9370092385425
all_Lv_unconstrained,2019.9366268397544
all_Lv_unconstrained,2019.9335186017
all_Lv_unconstrained,2019.9359715331923
