Virus_full_name,Virus_short,Virus_shorter
"OM451194.1 MAG: Cadicivirus B isolate HeN-F3 polyprotein P1 and polyprotein P2/P3 genes, complete cds",Cadicivirus B isolate HeN-F3,Cadicivirus B
"OM451116.1 MAG: Civet astrovirus isolate SC-F1 nonstructural protein gene, partial cds; and capsid protein precursor, gene, complete cds",Civet astrovirus isolate SC-F1,Civet astrovirus
"OM451183.1 MAG: Civet kobuvirus isolate SC-F3 polyprotein gene, complete cds",Civet kobuvirus isolate SC-F3,Civet kobuvirus
"OM451185.1 MAG: Marmot kobuvirus isolate JS-TNA1 polyprotein gene, complete cds",Marmot kobuvirus isolate JS-TNA1,Marmot kobuvirus
"NC_034971.1 Canine kobuvirus isolate SMCD-59, complete genome",Canine kobuvirus isolate SMCD-59,Canine kobuvirus SMCD-59
"AC_000003.1 Canine adenovirus 1, complete genome",Canine adenovirus 1,Canine adenovirus 1
"NC_001539.1 Canine parvovirus, complete genome",Canine parvovirus,Canine parvovirus
"NC_040533.1 Lupine bocavirus isolate South Douro, complete genome",Lupine bocavirus isolate South Douro,Lupine bocavirus isolate South Douro
"OM451122.1 MAG: Canine coronavirus isolate SD-F3, complete genome",Canine coronavirus isolate SD-F3,Canine coronavirus SD-F3
"OM451123.1 MAG: Canine coronavirus isolate HeB-G1, complete genome",Canine coronavirus isolate HeB-G1,Canine coronavirus HeB-G1
"OM451182.1 MAG: Canine kobuvirus isolate JX-MO1 polyprotein gene, complete cds",Canine kobuvirus isolate JX-MO1,Canine kobuvirus JX-MO1
"NC_002306.3 Feline infectious peritonitis virus, complete genome",Feline infectious peritonitis virus,Feline infectious peritonitis virus
"NC_011765.1 European hedgehog papillomavirus, complete genome",European hedgehog papillomavirus,European hedgehog papillomavirus
"OM451141.1 MAG: Hedgehog bocavirus isolate HeN-F1 nonstructural protein 1, NP1, and structural protein 3 genes, complete cds",Hedgehog bocavirus isolate HeN-F1,Hedgehog bocavirus
OM451162.1 MAG: Hedgehog chapparvovirus 6 isolate HeN-F2 genomic sequence,Hedgehog chapparvovirus 6 isolate HeN-F2,Hedgehog chapparvovirus 6
"OM451195.1 MAG: Hedgehog dicipivirus 2 isolate HeN-F3 polyprotein P2/P3 gene, complete cds",Hedgehog dicipivirus 2 isolate HeN-F3,Hedgehog dicipivirus 2
"OM451212.1 MAG: Erinaceus hedgehog coronavirus HKU31 isolate HeN-F3 ORF1ab, spike protein, and hypothetical protein genes, complete cds; envelop protein and membrane protein genes, partial cds; and nucleocapsid protein gene, complete cds",Erinaceus hedgehog coronavirus HKU31 isolate HeN-F3,Erinaceus hedgehog coronavirus HKU31 isolate HeN-F3
"OM451213.1 MAG: Erinaceus hedgehog coronavirus HKU31 isolate HeB-MO1 ORF1ab, spike protein, hypothetical protein, envelop protein, membrane protein, and nucleocapsid protein genes, complete cds",Erinaceus hedgehog coronavirus HKU31 isolate HeB-MO1,Erinaceus hedgehog coronavirus HKU31 isolate HeB-MO1
"NC_040573.1 Myocastor coypus polyomavirus 1, complete genome",Myocastor coypus polyomavirus 1,Myocastor coypus polyomavirus 1
"NC_025825.1 Raccoon dog amdovirus isolate HS-R NS1, NS2, NS3, VP1, and VP2 genes, complete cds",Raccoon dog amdovirus isolate HS-R,Raccoon dog amdovirus
"NC_055121.1 Bamboo rat circovirus isolate FJ01, complete genome",Bamboo rat circovirus isolate FJ01,Bamboo rat circovirus
"OQ297694.1 MAG: Bamboo rat coronavirus isolate GX/GX19-89/2019, complete genome",Bamboo rat coronavirus isolate GX/GX19-89/2019,Bamboo rat coronavirus
"NC_032730.1 Lucheng Rn rat coronavirus isolate Lucheng-19, complete genome",Lucheng Rn rat coronavirus isolate Lucheng-19,Lucheng Rn rat coronavirus
"NC_026011.1 Betacoronavirus HKU24 strain HKU24-R05005I, complete genome",Betacoronavirus HKU24 strain HKU24-R05005I,Betacoronavirus HKU24
"NC_040604.1 Rodent papillomavirus isolate RtRn-PV/GD2014, complete genome",Rodent papillomavirus isolate RtRn-PV/GD2014,Rodent papillomavirus
"NC_027708.1 Skunk adenovirus PB1, complete genome",Skunk adenovirus PB1,Skunk adenovirus PB1
"NC_006148.1 Snake parvovirus 1, complete genome",Snake parvovirus 1,Snake parvovirus 1
"NC_046963.1 Guangdong red-banded snake torovirus strain LPSF30546 1ab protein, spike protein, hypothetical protein, and putative glycoprotein genes, complete cds",Guangdong red-banded snake torovirus strain LPSF30546,Guangdong red-banded snake torovirus
"NC_045512.2 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome",SARS-CoV-2,SARS-CoV-2
